"","log2FoldChange"
"PLP2",1.82481969349488
"LOC441081",2.75341374268881
"SAT1",1.55594734166914
"PRELID1",1.39377566037268
"LOC105371873",3.16597784362096
"LILRA6",1.93847253536622
"COX7A2",1.53457911619582
"NDUFAF1",1.09758180172612
"MMADHC",1.35950074405879
"CARD17P",3.18087574318097
"GBA1",1.44069739711828
"TRIP4",0.833967613600431
"FLVCR2",1.83657140449359
"VAMP5",2.58427740475447
"COX6A1",1.42056904379361
"METTL9",1.91961828770887
"TSHZ1",-1.1652649987958
"ATP6V1D",1.31581095394852
"FLOT1",2.05951565659195
"ISY1",0.826658230472655
"LOC105370969",2.45037119871938
"ATG3",1.44542718966384
"CASP4",1.65431453107883
"TTC3",-1.22068467880025
"GAS6",2.06829810138388
"CA5BP1-CA5B",-1.07514371358067
"UBE2F",1.44695299092262
"TNFAIP6",3.13300866357401
"EDEM2",1.23290057864788
"H4C4",2.62377755069276
"VPS25",1.21925869297532
"IFFO2",-1.16787834493917
"DUSP3",1.38640729477494
"PSMA2",1.30085425380785
"STOM",2.18343069926846
"DRAM1",1.7428020406163
"GRINA",2.36671444559573
"ANXA1",1.70659041006831
"KCNE1",2.51141573410368
"MAP3K5-AS2",1.22487964421393
