"","GSM5609212","GSM5609213","GSM5609214","GSM5609215","GSM5609216","GSM5609217","GSM5609218","GSM5609219","GSM5609220","GSM5609221","GSM5609222","GSM5609223","GSM5609224","GSM5609225","GSM5609226","GSM5609227","GSM5609228","GSM5609229","GSM5609230","GSM5609231","GSM5609232","GSM5609233","GSM5609234","GSM5609235","GSM5609236","GSM5609237","GSM5609238","GSM5609239","GSM5609240","GSM5609241","GSM5609242","GSM5609243","GSM5609244","GSM5609245","GSM5609246","GSM5609247","GSM5609248","GSM5609249","GSM5609250","GSM5609333","GSM5609334","GSM5609335","GSM5609336","GSM5609337"
"399972",92,29,89,38,67,89,9,12,12,9,10,4,99,9,16,39,21,43,22,28,39,20,28,13,16,25,8,22,23,21,34,29,39,6,40,21,70,30,18,35,101,17,89,53
"6484",620,234,608,304,455,676,63,82,62,83,76,39,545,79,101,175,119,197,109,148,215,107,111,88,99,97,65,157,107,176,135,117,265,76,302,153,597,200,234,384,645,164,512,365
"2597",16616,9115,13931,10155,15679,20569,3534,2656,2595,2804,4566,1652,16917,4193,4946,4473,2926,4776,3013,6819,6806,4379,2916,4492,4777,3642,1933,4607,4076,4580,3991,4393,8864,2621,10526,4978,19133,12037,10392,9700,11289,3975,9344,10569
"719",532,215,544,268,882,602,327,95,150,56,114,78,747,276,408,474,227,333,173,440,414,221,332,130,305,459,107,292,218,348,487,246,371,84,172,249,932,368,291,641,567,221,191,289
"338339",128,54,241,100,129,84,78,88,64,54,84,23,383,103,60,142,46,157,48,75,62,44,51,69,38,62,69,61,41,142,183,95,112,56,99,92,128,30,43,120,329,117,283,167
"79887",3638,2215,4818,1659,4092,3675,1107,805,940,927,1807,502,12285,2154,1942,2425,1463,2564,1360,2324,2618,1458,1789,2119,1327,2033,891,2211,1512,3397,2365,1905,2914,764,3125,2791,4950,3151,2090,3012,5636,2258,4590,3428
"101928317",155,88,217,91,189,158,29,20,24,27,42,5,260,23,31,47,30,67,20,42,55,30,26,34,29,48,16,32,36,55,45,40,63,15,101,77,179,108,80,119,221,82,194,151
"4257",155,76,220,138,256,124,88,19,27,36,50,25,440,100,88,121,54,84,36,169,51,68,74,83,65,100,15,88,28,111,86,72,111,37,113,39,265,126,68,85,92,50,105,93
"53831",28,19,27,15,15,23,1,5,4,5,1,8,58,10,8,11,9,9,3,12,17,4,8,23,2,10,2,8,10,23,16,6,12,5,18,8,53,20,5,4,16,1,14,14
"196410",5,3,1,4,4,3,1,0,1,0,0,0,5,0,0,3,0,1,1,6,2,2,0,1,2,0,0,0,2,0,3,1,3,0,1,2,0,0,6,1,1,1,1,1
"3679",16,9,19,18,25,10,2,1,2,4,0,0,3,7,4,0,3,4,2,7,5,1,3,7,4,0,0,3,2,2,4,5,7,2,8,11,14,13,13,8,11,3,9,10
"100528022",267,126,331,274,409,411,41,37,21,30,40,21,165,57,41,51,51,76,32,79,58,55,18,45,60,34,23,41,29,57,49,72,127,34,173,62,200,122,157,170,191,79,214,227
"2647",367,166,408,333,497,500,75,59,37,62,46,40,259,95,90,89,80,131,51,169,94,102,42,89,80,62,39,74,57,99,79,110,209,54,208,86,219,147,189,235,209,99,257,315
"967",2084,1153,2358,1728,2637,2971,443,384,311,425,938,274,2758,850,765,769,623,1085,569,1221,1380,782,639,663,798,809,393,907,548,1108,752,1059,1764,529,1897,889,2632,1675,1688,1609,2035,819,1910,1646
"140465",112,40,39,40,330,104,2,14,1,10,25,12,95,8,27,7,13,14,7,52,19,6,10,14,11,7,7,15,12,22,14,55,64,19,49,21,54,19,153,210,204,100,284,116
"4637",5732,2053,8000,5578,8272,6663,1638,938,432,801,1008,631,2936,1690,764,1039,1162,1391,560,2329,763,959,439,805,1001,653,349,700,730,1070,1299,1996,2705,818,3427,1758,3502,1776,3026,4616,4131,2643,6641,7795
"55332",340,180,416,234,397,365,123,91,81,74,123,46,792,204,161,194,127,226,127,250,197,113,151,117,122,177,45,170,131,254,128,164,333,75,225,94,393,125,134,310,456,201,396,283
"10094",4560,1691,6264,3378,6417,5039,1540,999,640,685,2033,708,4899,2027,1649,1611,1456,1800,993,2425,1536,1254,1047,1314,1095,1072,458,1527,1181,1816,2024,2083,3611,1016,3930,1627,5522,2647,3180,4522,3712,2461,6503,5034
"1337",691,345,932,633,954,983,138,76,48,70,96,78,355,145,122,109,122,147,81,213,116,138,56,85,133,73,44,99,85,111,127,218,308,90,455,144,440,301,374,495,446,205,658,609
"51371",351,152,487,292,496,440,140,55,38,38,192,87,388,214,192,154,162,198,112,325,162,154,132,111,119,107,50,143,158,155,182,209,396,83,322,82,524,285,366,294,180,148,385,373
"55647",154,68,165,102,94,167,20,31,24,32,17,7,372,19,41,42,15,50,23,50,79,42,45,23,44,18,25,30,27,77,33,29,99,28,85,60,225,105,43,120,80,54,92,132
"2621",128,63,133,44,113,139,12,8,21,10,11,6,47,13,19,18,16,14,14,29,32,17,19,13,19,11,6,21,22,9,21,12,48,13,73,4,114,55,76,65,91,21,52,46
"6035",28,2,3,1,3,4,3,1,1,1,8,1,13,1,0,2,0,1,1,3,5,1,0,0,2,5,1,5,1,0,4,4,8,1,2,5,17,4,9,5,2,1,9,3
"643332",13,3,28,19,11,5,5,3,2,2,0,1,13,7,3,14,3,7,0,11,3,6,3,11,9,3,1,4,1,9,4,4,9,0,5,10,12,7,10,7,21,14,18,10
"6036",280,89,647,251,278,177,112,232,33,32,42,25,311,75,44,109,22,132,62,153,30,45,43,111,177,62,6,85,51,44,78,53,92,29,156,226,366,87,195,185,380,95,220,156
"5687",721,258,1040,668,1085,781,297,156,128,107,146,85,392,197,184,117,109,188,104,369,122,185,91,163,149,70,30,131,118,188,173,252,325,98,324,64,270,167,299,808,490,320,771,692
"51382",335,186,680,307,523,346,171,127,98,99,230,68,472,212,196,185,144,186,100,285,112,140,110,131,105,118,44,178,122,195,225,200,381,124,383,146,448,250,409,511,375,274,733,425
"10538",141,93,255,168,274,373,28,28,16,15,49,16,107,20,42,22,31,33,18,86,44,53,8,34,50,26,11,28,37,26,41,57,125,25,83,31,190,106,176,120,97,49,105,126
"55640",118,61,176,93,162,109,54,22,25,33,89,16,409,58,85,102,40,74,44,117,80,68,74,48,54,59,30,82,48,115,88,61,157,23,104,32,218,77,93,138,128,75,101,120
"3429",59,24,28,42,17,38,5,12,7,6,10,7,192,18,6,11,12,15,11,23,17,12,3,15,1,8,19,7,8,15,40,7,80,0,43,42,85,17,81,15,12,60,18,51
"9556",265,85,423,306,424,309,118,40,28,55,53,23,145,66,38,32,47,71,36,103,35,63,39,41,70,36,12,48,39,66,48,115,126,47,108,28,78,39,116,245,154,96,297,414
"55505",864,331,879,639,1027,1139,165,104,72,109,225,81,599,164,128,174,153,212,94,286,108,114,43,113,102,145,70,116,127,129,209,221,477,159,672,235,886,285,423,518,657,272,1020,768
"51103",225,134,332,171,294,304,85,54,41,23,176,27,292,105,127,108,83,102,67,139,86,95,62,72,70,67,32,136,81,107,87,144,221,41,190,76,253,145,173,214,198,95,237,164
"58472",1568,912,1650,1047,1761,2334,301,410,268,332,633,264,2883,952,811,846,597,1000,628,976,1135,612,583,687,549,601,295,769,536,959,883,689,1488,444,1306,701,3017,1091,1055,1431,1700,779,1976,1227
"388121",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,2,1,0,0,1
"1588",0,2,0,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0
"9325",404,196,584,325,611,523,151,86,90,87,213,67,460,246,207,164,118,164,96,246,136,170,122,144,121,131,58,185,145,184,192,202,353,79,422,117,486,287,369,558,393,294,560,385
"597",574,85,1238,329,691,401,212,181,73,117,243,90,393,168,90,171,104,250,83,178,85,76,59,124,108,55,33,122,117,174,254,348,267,88,191,133,245,67,143,763,733,461,1491,899
"8120",3,1,10,12,2,15,3,0,3,3,0,0,7,4,3,14,1,3,6,4,5,11,2,1,1,1,4,1,2,1,9,3,19,1,9,8,8,0,8,1,6,3,7,3
"105370969",39,18,38,19,24,17,2,1,1,0,0,1,30,7,3,16,4,19,7,6,17,10,9,5,11,11,2,29,14,17,3,8,11,4,13,7,29,22,9,18,8,5,17,7
"51108",2060,1244,2694,1618,2885,2714,895,522,541,581,1528,480,3920,1626,1594,1232,786,1576,850,1979,950,926,922,1134,841,886,392,1073,852,1707,1106,1347,1946,524,1716,712,2305,1211,1268,2143,2637,1138,2533,1928
"80270",31,12,29,33,48,44,9,6,3,3,0,1,36,3,7,6,7,6,8,7,12,9,11,7,11,12,7,8,11,7,10,4,19,6,12,9,47,22,18,18,18,16,29,24
"79650",1193,664,1410,817,1219,2043,192,304,233,217,313,134,1925,388,372,475,406,542,353,651,856,481,385,382,370,366,262,535,483,546,455,461,882,365,954,484,1677,806,762,995,1769,489,1392,840
"51192",444,140,655,376,572,528,162,131,88,106,112,61,519,168,136,210,128,265,96,217,160,125,126,124,107,117,74,138,122,231,171,269,368,110,256,134,412,147,171,461,454,201,801,466
"100529251",329,99,504,273,423,387,100,79,52,60,47,42,329,100,95,130,85,187,56,138,93,91,73,64,64,80,47,80,76,136,106,176,228,81,161,98,259,119,106,325,302,141,604,378
"9057",955,631,1650,822,1542,1820,347,331,349,248,1068,288,1781,953,1530,694,532,535,560,1167,653,625,688,584,685,467,208,916,688,830,802,695,1492,418,1413,149,1031,758,1038,1699,1542,732,1530,838
"84138",700,491,1206,605,1128,1329,239,229,249,185,701,186,1201,650,1017,489,370,375,365,782,438,418,452,397,449,311,137,592,452,557,520,459,978,268,1017,111,737,570,772,1154,1035,503,1045,611
"3240",174,62,342,84,50,87,32,11,11,19,18,28,410,55,37,72,42,97,54,49,33,50,17,129,64,109,15,36,25,83,84,80,62,46,35,170,454,91,93,51,80,27,42,100
"3250",10,4,28,8,8,7,5,1,1,2,6,1,51,5,3,7,10,8,7,7,4,3,4,9,8,8,3,2,4,4,6,10,9,4,1,4,16,9,1,2,2,3,3,6
"9605",479,303,775,482,760,1082,71,68,51,47,110,29,465,81,91,100,96,139,52,125,192,118,62,82,106,92,51,120,106,84,119,115,250,84,362,98,793,308,356,428,430,148,420,451
"433",254,78,257,132,192,174,60,31,35,21,12,15,280,46,62,91,40,74,29,168,84,41,65,80,105,53,15,72,24,74,73,75,112,22,88,39,284,140,74,112,138,42,116,157
"23164",1362,949,2634,1561,2299,3098,562,464,484,313,1557,375,2361,1303,1809,1219,835,658,748,1631,1401,1165,765,931,1118,762,347,1055,945,1198,959,1152,2282,710,2047,287,1659,1071,1870,3070,2436,1160,1839,1449
"6388",576,348,777,468,770,941,148,120,77,106,258,90,706,255,210,223,169,240,120,288,237,207,105,177,156,145,73,180,172,238,231,292,487,137,541,173,586,368,462,517,580,238,665,485
"84313",355,208,434,313,440,533,100,59,53,38,76,33,278,88,101,81,85,87,53,146,87,95,43,96,92,59,19,67,72,99,81,88,196,66,254,71,322,200,230,351,267,140,302,274
"1845",550,343,672,351,564,626,204,100,133,114,290,119,1408,294,393,350,192,342,200,486,352,214,277,290,246,284,124,335,258,435,395,283,551,181,343,121,763,336,341,739,607,303,628,445
