"","GSM5609212","GSM5609213","GSM5609214","GSM5609215","GSM5609216","GSM5609217","GSM5609218","GSM5609219","GSM5609220","GSM5609221","GSM5609222","GSM5609223","GSM5609224","GSM5609225","GSM5609226","GSM5609227","GSM5609228","GSM5609229","GSM5609230","GSM5609231","GSM5609232","GSM5609233","GSM5609234","GSM5609235","GSM5609236","GSM5609237","GSM5609238","GSM5609239","GSM5609240","GSM5609241","GSM5609242","GSM5609243","GSM5609244","GSM5609245","GSM5609246","GSM5609247","GSM5609248","GSM5609249","GSM5609250","GSM5609333","GSM5609334","GSM5609335","GSM5609336","GSM5609337"
"7353",400,270,592,368,679,633,104,96,61,64,174,79,533,201,192,168,141,162,84,324,206,162,102,116,142,106,53,193,141,211,164,230,420,130,348,122,451,335,378,495,417,260,531,438
"5008",92,29,59,39,52,66,12,15,6,7,0,1,80,13,15,14,9,33,9,18,37,13,9,3,8,8,7,3,9,9,16,14,30,9,35,13,82,14,22,47,105,27,83,52
"6948",78,58,131,124,148,111,24,9,24,12,21,5,283,45,22,39,28,39,17,30,44,29,37,34,29,54,9,31,15,35,21,21,43,18,57,35,120,99,53,58,74,39,76,76
"3956",1252,768,1480,1457,1421,1529,274,152,112,154,161,89,1076,131,128,174,176,274,98,453,219,217,92,188,343,160,74,203,137,184,181,282,580,140,651,167,1063,875,999,670,618,289,560,837
"9582",154,155,227,128,365,153,40,62,40,64,104,13,504,54,46,100,47,107,25,50,135,54,51,40,42,64,35,80,75,66,69,129,260,81,225,123,376,159,122,246,221,138,334,254
"660",60,31,121,40,59,74,9,15,13,36,15,16,237,63,34,71,36,88,38,44,94,31,38,76,14,35,47,73,40,118,91,73,62,49,74,84,187,52,23,76,165,55,131,77
"114004397",232,126,283,163,279,417,111,83,70,49,281,88,445,270,444,214,141,109,149,437,242,187,186,195,205,144,64,278,158,216,270,194,494,110,271,29,203,157,316,299,313,110,247,155
"6303",6633,3023,9442,4170,8659,6641,2627,2775,1695,1887,3242,955,12742,3932,2912,3742,2254,3922,1960,3747,3591,2129,2426,2147,1980,2339,1211,2897,2147,4446,3387,3338,6671,1403,5403,2218,9037,3297,3429,6429,7899,4810,10660,6589
"5355",1933,961,1798,1268,1855,2809,282,227,251,287,705,201,2661,652,763,795,110,658,381,1090,501,521,503,870,640,540,295,864,386,125,658,636,1148,398,1558,77,2497,1353,1333,1397,1802,553,1355,1234
"2717",272,165,324,204,306,392,70,61,34,75,124,24,417,137,120,124,85,138,65,173,156,86,74,100,77,96,50,131,97,136,111,119,218,51,249,89,397,158,179,256,263,126,255,225
